name,station,score,review,address,latitude,longitude
더숲초소책방,서촌,3.5,1042,서울 종로구 인왕산로 172,37.5845052,126.9638774
스타벅스 적선점,서촌,4.0,50,서울 종로구 새문안로5길 55 노스게이트빌딩 1층,37.5750907,126.9739521
카페 보안,서촌,4.3,46,서울 종로구 효자로 33 1층,37.57904389999999,126.9736188
카페이마,서촌,3.5,378,서울 종로구 세종대로 152 일민미술관 1층,37.5697944,126.9776649
파스텔커피웍스 서촌점,서촌,4.5,118,서울 종로구 필운대로3길 2 1층,37.5787354,126.9687878
크레페보이,서촌,4.9,137,서울 종로구 자하문로13길 4-7 1층,37.5803761,126.9707721
쏘리에스프레소바,서촌,4.7,581,서울 종로구 자하문로2길 12 1층,37.576482,126.973348
카페자스 광화문점,서촌,4.3,16,서울 종로구 새문안로5가길 3-1 영진빌딩 101호,37.572479,126.974269
부트카페 서촌,서촌,3.0,199,서울 종로구 자하문로 46,37.580093,126.9715345
오설록티하우스 현대미술관점,서촌,4.4,229,서울 종로구 삼청로 30 1층,37.5795117,126.9805862
모브,서촌,4.4,130,서울 종로구 사직로8길 7,37.5752514,126.96976
몹시,서촌,4.7,110,서울 종로구 자하문로 36,37.5792663,126.9717356
와플샵 경복궁점,서촌,4.7,49,서울 종로구 자하문로 8 1층,37.5768539,126.9726128
도트블랭킷,서촌,4.2,626,서울 종로구 윤보선길 22 1층,37.5770255,126.9841015
헤이븐,서촌,4.5,110,서울 종로구 자하문로 52-1,37.58076510000001,126.971404
팔발라 삼청본점,서촌,3.0,464,서울 종로구 삼청로 61,37.5813375,126.9806076
안다미로 팬케이크 서촌점,서촌,4.4,77,서울 종로구 필운대로5가길 2 1층,37.579475,126.9685767
리셉션,서촌,3.9,124,서울 종로구 자하문로 70 효자빌딩 1층,37.5822716,126.9710343
호랑이 경복궁점,서촌,4.5,50,서울 종로구 자하문로1길 50 1층,37.5769254,126.9697077
음악의숲,서촌,4.8,12,서울 종로구 자하문로 39,37.5795687,126.9711006
카페413프로젝트 역삼점,강남역,4.2,506,서울 강남구 논현로97길 19-11 1층,37.5023397,127.0344731
정월,강남역,3.4,647,서울 강남구 강남대로102길 46 1층,37.5036709,127.0285951
키이스케이프 강남점,강남역,4.0,294,서울 강남구 강남대로96길 17 6층,37.5001389,127.0283996
장꼬방,강남역,4.4,425,서울 서초구 강남대로61길 27 1층,37.4983303,127.0237836
알베르,강남역,3.0,1014,서울 강남구 강남대로102길 34,37.5030677,127.0280792
썸띵어바웃커피,강남역,3.6,1399,서울 강남구 강남대로102길 30 1-3층,37.5028232,127.0278067
룸카페 바니,강남역,3.0,131,서울 강남구 강남대로96길 12 지천빌딩 3층 301호,37.4997177,127.0279918
루프808,강남역,4.2,463,서울 강남구 강남대로 470 808타워 16층,37.5043512,127.0250471
블루보틀 역삼 카페,강남역,4.0,465,서울 강남구 테헤란로 129 강남N타워 1층,37.4997777,127.0324107
코드케이 강남점,강남역,3.7,52,서울 강남구 봉은사로2길 31 지하1층,37.5027041,127.0264143
스타벅스 몬테소리점,강남역,4.3,97,서울 서초구 강남대로 399 한국몬테소리 빌딩 1층,37.49827630000001,127.026863
고양이라좋은날,강남역,4.4,181,서울 강남구 강남대로98길 28 5층,37.5008756,127.0286725
공차 강남역점,강남역,3.2,29,서울 강남구 강남대로 지하 396 강남역지하쇼핑센터 지하1층 E-37호,37.497973,127.0277184
스타벅스 강남R점,강남역,4.2,303,서울 강남구 강남대로 390 미진프라자 1층 101호,37.4978461,127.0286372
가배도 신논현점,강남역,3.4,605,서울 강남구 강남대로110길 13 호림빌딩 2-3층,37.5040964,127.0258517
빌리엔젤 강남역점,강남역,2.9,179,서울 강남구 테헤란로1길 48 강남ELS빌딩 1층,37.5014631,127.0269828
커피빈 강남역세계빌딩점,강남역,4.2,22,서울 서초구 서초대로73길 12 1층,37.4985905,127.0258499
브라운홀릭,강남역,3.3,211,서울 강남구 강남대로98길 25 1층,37.5010975,127.0286613
어퍼앤언더,강남역,3.0,1287,"서울 강남구 강남대로102길 28 1, 2, 지하 1층",37.5027307,127.0277254
평화다방 강남역점,강남역,2.6,444,서울 강남구 강남대로94길 10 K스퀘어 2층,37.4991618,127.0281867
할리스 강남역점,강남역,3.1,139,서울 강남구 강남대로 402 시계탑빌딩 1층,37.498768,127.0277985
비트포비아 강남던전점,강남역,3.7,741,서울 강남구 강남대로84길 33 대우디오빌플러스 지하1층 111호,37.497514,127.0310602
타짜도르 강남점,강남역,3.5,192,서울 서초구 서초대로77길 61 1층,37.5024648,127.0236722
쉼스토리,강남역,4.4,92,서울 강남구 역삼로3길 17 혜진빌딩 3층,37.4946226,127.031054
