name,category,region,score,review,value,price,address,latitude,longitude
자연도소금빵 in성수,"제과,베이커리",뚝섬역,3.4,2433,26.510790330061404,12000,서울 성동구 연무장길 56-1 1층 (우)04781,37.5423017,127.0554582
비엔나커피하우스 서울숲역점,카페,뚝섬역,3.6,56,14.554984564204382,5000,서울 성동구 왕십리로 66 1층 (우)04778,37.5434613,127.0450286
스트로베리32 성수점,"제과,베이커리",뚝섬역,4.5,487,27.856419326339164,36250,서울 성동구 왕십리로10길 9-31 3층 (우)04778,37.5468258,127.0462873
>>>>>>> Stashed changes
브레디포스트 성수,카페,뚝섬역,4.2,4348,35.18634509291009,5750,"서울 성동구 상원1길 5 1,2층 201호 (우)04779",37.5444991,127.0491623
업사이드커피 뚝섬점,커피전문점,뚝섬역,4.4,156,22.247481543532555,5000,서울 성동구 왕십리로14길 19-1 1층 (우)04788,37.5487537,127.0459109
후후베이크,"제과,베이커리",뚝섬역,4.6,125,22.246896771976797,3550,서울 성동구 상원1길 13 1층 (우)04779,37.5450459,127.0487576
도렐 성수점,카페,뚝섬역,2.9,256,16.09232064619614,4700,서울 성동구 연무장7길 11 1층 (우)04782,37.5438054,127.0544306
빠오즈푸 서울숲점,중식,뚝섬역,4.0,338,23.3040004295218,8625,서울 성동구 왕십리로6길 13 1층 (우)04778,37.545944,127.0461964
치카 성수,디저트카페,뚝섬역,4.5,453,27.531437391186067,19875,서울 성동구 뚝섬로1가길 14 1층 (우)04779,37.5423383,127.0471594
성수아구찜탕,아구,뚝섬역,3.6,56,14.554984564204382,45000,서울 성동구 왕십리로4길 10 1층 (우)04778,37.5455685,127.0458912
<<<<<<< Updated upstream
성수동간판없는집,닭요리,뚝섬역,4.3,305,24.611415938395236,0,서울 성동구 성수일로 59-1 1층 (우)04779,37.5459289,127.0499748
=======
성수동간판없는집,닭요리,뚝섬역,4.3,304,24.59734063941187,0,서울 성동구 성수일로 59-1 1층 (우)04779,37.5459289,127.0499748
>>>>>>> Stashed changes
푸드갤러리빈,두부전문점,뚝섬역,4.8,109,22.5623057558036,17500,서울 성동구 왕십리로6길 19-7 1층 (우)04778,37.5458882,127.0467758
조조칼국수 성수점,칼국수,뚝섬역,4.5,2173,34.5794583045652,11333,서울 성동구 성수일로8길 55 1층 (우)04794,37.545243,127.0566783
베통 성수,카페,뚝섬역,4.6,391,27.467804463036124,5750,서울 성동구 연무장7가길 8 (우)04782,37.54294470000001,127.0552259
술래감자탕,감자탕,뚝섬역,3.9,44,14.845983710104246,16000,서울 성동구 왕십리로4길 13 1층 (우)04778,37.5459709,127.0458523
마일스톤커피 성수,카페,뚝섬역,4.0,461,24.542259564326955,4950,서울 성동구 서울숲4길 15 1층 (우)04768,37.5474337,127.0428283
양복점 성수점,양꼬치,뚝섬역,4.7,335,27.34042245182706,23500,서울 성동구 왕십리로4길 28-2 1층 (우)04778,37.5471333,127.0466301
<<<<<<< Updated upstream
서울로인 서울숲점,한식,뚝섬역,4.4,1122,30.904539400849153,58000,서울 성동구 서울숲2길 32-14 갤러리아포레 2층 203-2호 (우)04769,37.545702,127.042425
=======
서울로인 서울숲점,한식,뚝섬역,4.4,1121,30.900619578763624,58000,서울 성동구 서울숲2길 32-14 갤러리아포레 2층 203-2호 (우)04769,37.545702,127.042425
>>>>>>> Stashed changes
퍼먼트,"제과,베이커리",뚝섬역,3.4,810,22.774111383992405,5250,"서울 성동구 서울숲2길 37 지하1층, 1층 (우)04768",37.5466184,127.042819
카페 투스프링,카페,뚝섬역,4.4,5,7.883741664603442,6000,서울 성동구 왕십리로4길 26-14 1층 (우)04778,37.546851,127.0468581
고공 성수본점,"육류,고기",뚝섬역,3.6,141,17.84097740736454,10000,서울 성동구 왕십리로8길 10 (우)04778,37.5462951,127.0458576
태성골뱅이 성수점,"호프,요리주점",뚝섬역,5.0,123,24.101407828025184,29000,"서울 성동구 왕십리로10길 8 1층, 2층, 지하 (우)04778",37.5468175,127.0455122
브루잉세레모니,커피전문점,뚝섬역,4.5,294,25.591389103529192,6000,서울 성동구 연무장5가길 22-1 1층 (우)04782,37.5432581,127.055141
<<<<<<< Updated upstream
서촌계단집,"해물,생선",서촌,3.0,1096,21.00100338082569,28500,서울 종로구 자하문로1길 15 1층 (우)03041,37.5763353,126.9714913
